product_id,category_en,units_sold,revenue,avg_price
aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,520,37104.3,71.35
422879e10f46682990de24d770e7f83d,garden_tools,484,26577.22,54.91
99a4788cb24856965c36a24e339b6058,bed_bath_table,477,42049.66,88.15
389d119b48cf3043d311335e499d9c6b,garden_tools,390,21336.79,54.71
368c6c730842d78016ad823897a372db,garden_tools,388,21056.8,54.27
53759a2ecddad2bb87a079a1f1519f73,garden_tools,373,20387.2,54.66
d1c427060a0f73f6b889a5c7c61f2ac4,computers_accessories,332,45620.56,137.41
53b36df67ebb7c41585e8d54d6772e08,watches_gifts,321,37454.63,116.68
154e7e31ebfa092203795c972e5804a6,health_beauty,274,6173.26,22.53
3dd2a17168ec895c781a9191c1e95ad7,computers_accessories,272,40782.8,149.94
